Date,Text,Retweet_count,Favorite_count,hashtags,Source
2021-09-30 17:00:02,"Hands up, who only ever buys tech in black or white? 🙋‍♀️",5,177,,Twitter for Advertisers
2021-09-30 14:00:02,"Let’s play a game!

Can you guess the product from the letters below? 

H _ _ _ _ _  F_ _ _ _ _ _ _   _ _o",9,89,,Falcon Social Media Management 
2021-09-30 11:01:16,#HUAWEIWATCH3 is the ideal companion to keep you informed about your heart activity. Maintain a healthy heart rate… https://t.co/8yk1xBMyXD,7,52,HUAWEIWATCH3,Falcon Social Media Management 
2021-09-30 09:00:11,"Cool Blue, Earth Green, Fiery Red or Sunshine Yellow? Take a picture, #ShowOffYourDesk with #HUAWEIMateView and let… https://t.co/4r5syGZPZ0",2,31,ShowOffYourDeskHUAWEIMateView,Falcon Social Media Management 
2021-09-29 17:00:14,"Let’s see who’s been putting their ❤ to work this #WorldHeartDay!

Share screenshots of workouts that got your blood pumping 💪",3,58,WorldHeartDay,Falcon Social Media Management 
2021-09-29 11:00:21,"This #WorldHeartDay, we encourage you all to #UseHeart to connect with your loved ones.

#HUAWEIWATCH3 tracks your… https://t.co/nfyadacDII",5,61,WorldHeartDayUseHeartHUAWEIWATCH3,Falcon Social Media Management 
2021-09-29 08:00:15,"#UseHeart to connect with your loved ones on #WorldHeartDay ❤️

Let #HUAWEIWATCH3 keep you informed on your health.… https://t.co/z6ymqkkhuk",10,51,UseHeartWorldHeartDayHUAWEIWATCH3,Falcon Social Media Management 
2021-09-28 18:01:02,"Stunning wallpapers are just one great photo away.

📷 – Abdulaziz Alsgheer

Show us your phone wallpapers… https://t.co/4lZlu1492b",11,179,,Falcon Social Media Management 
2021-09-28 15:00:07,"Okay, hands up: How many of you spend all day thinking about being on holiday? 🙋‍♀️",3,87,,Falcon Social Media Management 
2021-09-28 11:13:48,"From your healthy breakfast, to a long day of work and finally your sunset workout, #UseHeart to monitor your heart… https://t.co/23XqraUkek",2,51,UseHeart,Falcon Social Media Management 
2021-09-28 10:01:28,Messy cables making you less productive? Enter #HUAWEIMateView. Its Wireless Device Projection function means you c… https://t.co/WJ4SR6zFaE,10,69,HUAWEIMateView,Falcon Social Media Management 
2021-09-27 18:00:21,"Travel the world with us to celebrate #WorldTourismDay.

Pause the video, screenshot and share with us where you ha… https://t.co/buYoQSJikf",12,73,WorldTourismDay,Falcon Social Media Management 
2021-09-27 15:00:56,"#UseHeart to unlock a world of possibilities with #HUAWEIWATCH3. 

Follow along this week to see how Kevin lives a… https://t.co/phAw4QmKf9",5,65,UseHeartHUAWEIWATCH3,Falcon Social Media Management 
2021-09-27 13:00:18,"Plan on travelling this year? We’ve got you covered! Petal Search can assist you with booking flights, finding plac… https://t.co/bNlzzyj9ql",8,96,,Falcon Social Media Management 
2021-09-27 10:00:50,Always be one tap away from your kids with help from their #HUAWEIWATCHKIDS4Pro and its HD camera. Easily make call… https://t.co/jQjHMjRwLM,8,92,HUAWEIWATCHKIDS4Pro,Falcon Social Media Management 
2021-09-26 12:00:04,"With each changing season comes new opportunities, let us know when in the year your photography thrives 👇 https://t.co/Tk6Mwgs0a9",6,78,,Falcon Social Media Management 
2021-09-25 18:00:01,Blog with ease on #HUAWEIMateView and transfer files from your phone with just a simple tap with Wireless Device Pr… https://t.co/9ewseecAZi,8,71,HUAWEIMateView,Twitter Media Studio
