Date,Text,Retweet_count,Favorite_count,hashtags,Source
2021-09-30 12:00:03,"#Windows11 is now part of your Galaxy. 
Now all your Galaxy and Microsoft apps are at home on #GalaxyBookPro360.… https://t.co/aDkelbOvRa",74,691,Windows11GalaxyBookPro360,Twitter Media Studio
2021-09-30 11:00:02,"Come join our squad instead 😉 #IYKYK #SquidGame

#GalaxyWatch4 #GalaxyBook #GalaxyZFlip3 https://t.co/fKu29Q4TK5",167,1662,IYKYKSquidGameGalaxyWatch4GalaxyBookGalaxyZFlip3,Twitter Media Studio
2021-09-30 10:00:02,"Recycled materials, plastic-free packaging, energy-saving technology, and zero waste – that’s Galaxy for the Planet… https://t.co/CKmxMdTWK1",17,445,,Twitter Media Studio
2021-09-29 12:00:00,"It's time to show your heart some love. 🥰 
Happy #WorldHeartDay! ❤️ #GalaxyWatch4 https://t.co/IxXz4T9Lx6",50,779,WorldHeartDayGalaxyWatch4,Twitter Media Studio
2021-09-28 12:00:43,#Generation17 Young Leader Yurii Romashko from Ukraine works to improve civil society by increasing transparency th… https://t.co/XwysUpweWG,28,408,Generation17,Twitter Media Studio
2021-09-28 09:00:00,"Work smarter and more efficiently with S Pen Fold Edition for #GalaxyZFold3 5G.

Check out the link below to learn… https://t.co/5PGrWutB96",30,467,GalaxyZFold3,Twitter Media Studio
2021-09-27 07:00:05,We are proud that our #Generation17 Young Leader @ShomyChowdhury caught up with @UNDP Administrator @ASteiner to di… https://t.co/fxKflsLcTt,35,366,Generation17,Twitter Web App
2021-09-24 02:00:00,"With the introduction of Labs, Samsung is making the Galaxy foldable experience even more flexible and adaptable to… https://t.co/7fPr4sdIql",33,378,,Twitter Media Studio
2021-09-23 10:00:00,"The perfect combination of timeless style and digital versatility.
A new collection created with rhodium plating,… https://t.co/274OjZ2fcC",80,904,,Twitter Web App
2021-09-23 02:00:00,"At #SDC21 on October 26, developers, creators and designers will gather online to shape the future of customer expe… https://t.co/6HlBNCpn3X",30,441,SDC21,Twitter Media Studio
2021-09-22 12:00:02,"Unfold your world with game-changing innovation on the #GalaxyZFold3 5G and #GalaxyZFlip3 5G.
Learn more:… https://t.co/wb559Oc3pw",308,6215,GalaxyZFold3GalaxyZFlip3,Twitter Media Studio
2021-09-21 10:18:25,What walking the walk looks and sounds like 💜 @BTS_twt #BTSatUNGA #BTSxUN https://t.co/2NH0EzQ6GI,10502,43370,BTSatUNGABTSxUN,Twitter Web App
2021-09-20 12:00:03,"Advance your gaming to another level with the #GalaxyZFold3 5G.
Learn more: https://t.co/flcrBzywut https://t.co/Kfeg1U6tzN",348,6639,GalaxyZFold3,Twitter Media Studio
2021-09-17 12:00:00,"Productivity is a snap with the S Pen. #GalaxyZFold3 5G. 
Learn more: https://t.co/flcrBzywut https://t.co/1o5FCRrtjs",329,6778,GalaxyZFold3,Twitter Media Studio
2021-09-17 11:00:01,"No one will dare grab your loot!
Get powered up and smash your enemies with the #GalaxyA52s 5G chipset power!
Disco… https://t.co/LJhPtJNjAs",43,601,GalaxyA52s,Twitter Media Studio
2021-09-17 10:00:02,"Lag-lag-lagging is not fun.
Jump to light-speed and leave other players behind with the #GalaxyA52s 5G.
Discover mo… https://t.co/yLbNEwLmJi",47,682,GalaxyA52s,Twitter Media Studio
