Author,Date,Text
E.,28/10/2021 23:59,It’s the way he snatched the phone and then had to catch himself for me. https://t.co/sad25PkZS8
ten,28/10/2021 23:59,the phone number is one thing the other seems like personal info unique there... ah well 😔
MARIYAH🦋,28/10/2021 23:59,my niece just got a phone call changed her voice and walked in the room. and y’all know i ain’t ever been one to mind my own business so yea i’m sitting outside the door 👂
SantaTzu,28/10/2021 23:59,"The
@POTUS 
Asks,

Have you heard the one about the OBIDEN and the Climate,

Yeah,
.
https://t.co/y0RBXGWnrf
.

He's going to need More than a stick to Conquer That for a Change...

. https://t.co/xXeRwg7DSH"
Daniel Prole Sewer 🐀 Vaxed,28/10/2021 23:59,"#NSWICAC 
Gladys Berejiklian to Maguire on a phone intercept:

I got you your hospital, l spoke to Dom, and said just put the money $140,000 in the budget and he said ok; he just does whatever l want.

Will Premier Perrottet now resign ?"
"Sandra💐 Gardener, fishing, Pern series reader🌊er",28/10/2021 23:59,"Infrastructure and spending bill negotiations: Live updates

https://t.co/N4L7na6rNT"
Kwekwe Karu,28/10/2021 23:59,Please take a Few Minutes to Check Us Out on Your #Mobile #iPad or #Computer at https://t.co/9q4Y3yhBex
Brandon BooFish 👻🐟,28/10/2021 23:59,This is me anytime that I’m talking on the phone. I can’t help it. I pace and circle. I don’t know why. Help? https://t.co/dffPKOfhHM
Tina,28/10/2021 23:59,"@Mizchele6 Is that the tattoo design that GP and BL had on their fingers, located in the lower right corner of the bag? I can't tell, I'm on mobile."
NovaIRT,28/10/2021 23:59,Sen. Richard Burr of North Carolina dumped more than $1.6 million in stocks in February 2020 a week before the coronavirus market crash https://t.co/w3mBRNOldF
Amusing User Name Pending,28/10/2021 23:59,"@SBWorkersUnited What’s happening with Sheridan? I noticed they are closed this week, but I never see them mentioned in union posts. Oooh I wonder if I can change my name in the Starbucks mobile app to Union-YES ✔️"
Santo JJ Vendicato 🇨🇦🇮🇸🇹🇼🏳️‍🌈🍸,28/10/2021 23:59,"@GetTheLeadOutCA @JustinTrudeau I phoned her office a year ago - asked the person who answered the phone to name *one thing* she had done to help the middle class.  Just one.

They had no answer.

Seriously."
Robyn 🇨🇦🇵🇹🇮🇹,28/10/2021 23:59,"@SimRelic @here4thedogs @cakesalie @hockeydraft411 @GlobalBC Also this:

https://t.co/l8PNhwJ2JX"
jamie 🔆,28/10/2021 23:59,Day 6 of my spare phone straight streaming and it's still ok wow
Vievara Rosel,28/10/2021 23:59,Spotted just now on Sephora Mobile https://t.co/vVSGkI7Eoa https://t.co/3lxj3pY9lz
☁️,28/10/2021 23:59,.@OfficialMonstaX put shownu on the fucking phone right now https://t.co/UYrzHSZj8T
Andy O'Halek,28/10/2021 23:59,"@AlbertBreer Yahoo sports app (free) will let you watch it on your phone. Has to be via cellular, can’t use Wi-Fi."
f1 enthusiast🏎,28/10/2021 23:59,"actually no, i don't think it's weird that when i pick up my fathers phone i answer, ""yes, daddy?"""
zack🎃👻,28/10/2021 23:59,NIGGA JUST THREW SOMEONE PHONE 😭😭
Melek小于·85,28/10/2021 23:59,THIS IS SO COOL! I WANT THIS PHONE! https://t.co/PXZZXj9D4g
